,trip_id,trip_headsign
890,ASP22GEN-1091-Weekday-00_104150_1..S03R,South Ferry
891,ASP22GEN-1091-Weekday-00_104400_1..N03R,Van Cortlandt Park-242 St
892,ASP22GEN-1091-Weekday-00_104600_1..S03R,South Ferry
893,ASP22GEN-1091-Weekday-00_104800_1..N03R,Van Cortlandt Park-242 St
894,ASP22GEN-1091-Weekday-00_105050_1..S03R,South Ferry
895,ASP22GEN-1091-Weekday-00_105200_1..N03R,Van Cortlandt Park-242 St
896,ASP22GEN-1091-Weekday-00_105500_1..S03R,South Ferry
897,ASP22GEN-1091-Weekday-00_105550_1..N03R,Van Cortlandt Park-242 St
898,ASP22GEN-1091-Weekday-00_105900_1..N03R,Van Cortlandt Park-242 St
899,ASP22GEN-1091-Weekday-00_105950_1..S03R,South Ferry
900,ASP22GEN-1091-Weekday-00_106250_1..N03R,Van Cortlandt Park-242 St
901,ASP22GEN-1091-Weekday-00_106400_1..S03R,South Ferry
902,ASP22GEN-1091-Weekday-00_106600_1..N03R,Van Cortlandt Park-242 St
903,ASP22GEN-1091-Weekday-00_106850_1..N03R,Van Cortlandt Park-242 St
904,ASP22GEN-1091-Weekday-00_106900_1..S03R,South Ferry
905,ASP22GEN-1091-Weekday-00_107300_1..N03R,Van Cortlandt Park-242 St
906,ASP22GEN-1091-Weekday-00_107400_1..S03R,South Ferry
907,ASP22GEN-1091-Weekday-00_107650_1..N03R,Van Cortlandt Park-242 St
908,ASP22GEN-1091-Weekday-00_107850_1..S03R,South Ferry
909,ASP22GEN-1091-Weekday-00_108000_1..N03R,Van Cortlandt Park-242 St
910,ASP22GEN-1091-Weekday-00_108300_1..S03R,South Ferry
911,ASP22GEN-1091-Weekday-00_108400_1..N03R,Van Cortlandt Park-242 St
912,ASP22GEN-1091-Weekday-00_108750_1..S03R,South Ferry
913,ASP22GEN-1091-Weekday-00_108900_1..N03R,Van Cortlandt Park-242 St
914,ASP22GEN-1091-Weekday-00_109150_1..S03R,South Ferry
915,ASP22GEN-1091-Weekday-00_109300_1..N03R,Van Cortlandt Park-242 St
916,ASP22GEN-1091-Weekday-00_109600_1..S03R,South Ferry
917,ASP22GEN-1091-Weekday-00_109700_1..N03R,Van Cortlandt Park-242 St
918,ASP22GEN-1091-Weekday-00_110050_1..S03R,South Ferry
919,ASP22GEN-1091-Weekday-00_110100_1..N03R,Van Cortlandt Park-242 St
920,ASP22GEN-1091-Weekday-00_110450_1..S03R,South Ferry
921,ASP22GEN-1091-Weekday-00_110500_1..N03R,Van Cortlandt Park-242 St
922,ASP22GEN-1091-Weekday-00_110900_1..S03R,South Ferry
923,ASP22GEN-1091-Weekday-00_111000_1..N03R,Van Cortlandt Park-242 St
924,ASP22GEN-1091-Weekday-00_111150_1..S03R,South Ferry
925,ASP22GEN-1091-Weekday-00_111400_1..N03R,Van Cortlandt Park-242 St
926,ASP22GEN-1091-Weekday-00_111550_1..S03R,South Ferry
927,ASP22GEN-1091-Weekday-00_111800_1..N03R,Van Cortlandt Park-242 St
928,ASP22GEN-1091-Weekday-00_112000_1..S03R,South Ferry
929,ASP22GEN-1091-Weekday-00_112200_1..N03R,Van Cortlandt Park-242 St
930,ASP22GEN-1091-Weekday-00_112600_1..N03R,Van Cortlandt Park-242 St
931,ASP22GEN-1091-Weekday-00_112700_1..S03R,South Ferry
932,ASP22GEN-1091-Weekday-00_112950_1..S03R,South Ferry
933,ASP22GEN-1091-Weekday-00_113000_1..N03R,Van Cortlandt Park-242 St
934,ASP22GEN-1091-Weekday-00_113400_1..N03R,Van Cortlandt Park-242 St
935,ASP22GEN-1091-Weekday-00_113400_1..S03R,South Ferry
936,ASP22GEN-1091-Weekday-00_113700_1..S03R,South Ferry
937,ASP22GEN-1091-Weekday-00_113800_1..N03R,Van Cortlandt Park-242 St
938,ASP22GEN-1091-Weekday-00_113950_1..S03R,South Ferry
939,ASP22GEN-1091-Weekday-00_114200_1..N03R,Van Cortlandt Park-242 St
